player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"realclaytontan",3aDmRHzcSY,2026-05-31T13:43:43.509Z,,100,,165,65
"realclaytontan",3aDmRHzcSY,2026-05-31T13:37:44.519Z,2026-05-31T13:43:29.468Z,50,0,0,-50
"Baslucky88",d5GnHPpzmd,2026-05-31T13:14:47.110Z,2026-05-31T13:33:06.671Z,100,204,0,104
"toti",kdKRyNDxHl,2026-05-31T13:08:39.875Z,2026-05-31T13:31:28.870Z,100,0,0,-100
"toti",kdKRyNDxHl,2026-05-31T13:05:57.821Z,2026-05-31T13:07:02.621Z,100,0,0,-100
"Baslucky88",d5GnHPpzmd,2026-05-31T12:52:44.494Z,2026-05-31T13:07:02.616Z,100,0,0,-100
"realclaytontan",3aDmRHzcSY,2026-05-31T12:01:15.834Z,2026-05-31T13:37:30.362Z,200,814,0,614
"jon",S50hTx3f4W,2026-05-31T11:45:01.442Z,2026-05-31T11:52:27.787Z,20,0,0,-20
"nicger",mQB12J5va_,2026-05-31T11:09:39.995Z,,500,,1334,834
"nicger",mQB12J5va_,2026-05-31T11:04:36.730Z,2026-05-31T11:08:28.020Z,300,0,0,-300
"nicger",mQB12J5va_,2026-05-31T10:56:06.799Z,2026-05-31T11:02:50.801Z,150,0,0,-150
"nicger",mQB12J5va_,2026-05-31T10:53:10.398Z,2026-05-31T10:55:18.793Z,100,0,0,-100
"arpeggi",15Yb4mRYvF,2026-05-31T10:48:59.014Z,,100,1037,187,1124
"arpeggi",15Yb4mRYvF,2026-05-31T10:46:17.240Z,2026-05-31T10:47:34.751Z,20,0,0,-20
"realclaytontan",3aDmRHzcSY,2026-05-31T10:43:35.227Z,2026-05-31T12:00:43.420Z,300,500,0,200
"Bokong",oEjeIX4iN0,2026-05-31T10:36:50.803Z,2026-05-31T10:39:31.695Z,50,0,0,-50
"Bokong",oEjeIX4iN0,2026-05-31T10:03:03.982Z,2026-05-31T10:35:47.488Z,50,0,0,-50
"realclaytontan",3aDmRHzcSY,2026-05-31T09:59:40.289Z,2026-05-31T10:42:42.342Z,200,0,0,-200
"realclaytontan",3aDmRHzcSY,2026-05-31T09:51:51.980Z,2026-05-31T09:58:01.755Z,200,0,0,-200
"nicger",mQB12J5va_,2026-05-31T09:41:33.705Z,2026-05-31T10:51:42.688Z,50,0,0,-50
"nicger",mQB12J5va_,2026-05-31T09:33:34.823Z,2026-05-31T09:40:12.865Z,50,0,0,-50
"nic",blyyg6q3R-,2026-05-31T09:18:52.309Z,2026-05-31T09:32:15.731Z,50,50,0,0
"realclaytontan",3aDmRHzcSY,2026-05-31T09:12:55.992Z,2026-05-31T09:50:49.195Z,200,0,0,-200
"nic",blyyg6q3R-,2026-05-31T09:11:41.899Z,2026-05-31T09:15:18.033Z,25,0,0,-25
"Brayden",-534c8ICbF,2026-05-31T09:04:36.943Z,2026-05-31T09:24:20.572Z,150,0,0,-150
"toti",kdKRyNDxHl,2026-05-31T09:00:36.401Z,2026-05-31T13:04:58.796Z,600,0,0,-600
"Bubul",DYXLwRPWuA,2026-05-31T08:58:25.928Z,2026-05-31T10:44:55.562Z,20,473,0,453
"toti",kdKRyNDxHl,2026-05-31T08:52:07.926Z,2026-05-31T08:58:25.925Z,100,0,0,-100
"Bokong",oEjeIX4iN0,2026-05-31T08:49:16.830Z,2026-05-31T10:01:16.441Z,150,0,0,-150
"toti",kdKRyNDxHl,2026-05-31T08:41:42.381Z,2026-05-31T08:49:16.826Z,100,0,0,-100
"nic",blyyg6q3R-,2026-05-31T08:36:36.467Z,2026-05-31T09:09:40.194Z,25,0,0,-25
"Brayden",-534c8ICbF,2026-05-31T08:33:51.962Z,2026-05-31T09:03:46.919Z,100,0,0,-100
"Bokong",oEjeIX4iN0,2026-05-31T08:32:43.434Z,2026-05-31T08:47:47.682Z,100,0,0,-100
"nic",blyyg6q3R-,2026-05-31T08:33:51.957Z,2026-05-31T08:35:32.750Z,50,0,0,-50
"toti",kdKRyNDxHl,2026-05-31T08:31:38.188Z,2026-05-31T08:40:59.694Z,100,0,0,-100
"nic",blyyg6q3R-,2026-05-31T08:27:25.875Z,2026-05-31T08:31:38.185Z,50,0,0,-50
"realclaytontan",3aDmRHzcSY,2026-05-31T08:23:47.871Z,2026-05-31T09:11:41.895Z,100,0,0,-100
"Bokong",oEjeIX4iN0,2026-05-31T08:23:47.867Z,2026-05-31T08:31:38.180Z,50,0,0,-50
"nic",blyyg6q3R-,2026-05-31T08:22:48.367Z,2026-05-31T08:24:44.980Z,50,0,0,-50
"Bokong",oEjeIX4iN0,2026-05-31T08:17:01.296Z,2026-05-31T08:22:48.364Z,50,0,0,-50
"nic",blyyg6q3R-,2026-05-31T08:17:01.293Z,2026-05-31T08:21:28.593Z,50,0,0,-50
"Brayden",-534c8ICbF,2026-05-31T08:13:45.987Z,2026-05-31T08:32:43.430Z,50,0,0,-50
"Jovi",O-3L4966Ji,2026-05-31T08:07:26.323Z,2026-05-31T12:16:26.509Z,40,596,0,556
"nic",blyyg6q3R-,2026-05-31T08:05:57.549Z,2026-05-31T08:16:19.715Z,50,0,0,-50
"Jovi",O-3L4966Ji,2026-05-31T08:05:57.547Z,2026-05-31T08:06:50.101Z,20,0,0,-20
"toti",kdKRyNDxHl,2026-05-31T08:05:36.595Z,2026-05-31T08:30:20.887Z,100,0,0,-100
"Jovi",O-3L4966Ji,2026-05-31T08:04:24.728Z,2026-05-31T08:05:36.593Z,20,0,0,-20
"nic",blyyg6q3R-,2026-05-31T08:02:20.984Z,2026-05-31T08:05:36.590Z,50,0,0,-50
"Jovi",O-3L4966Ji,2026-05-31T08:01:21.434Z,2026-05-31T08:03:38.993Z,20,0,0,-20
"Jovi",O-3L4966Ji,,2026-05-31T08:01:09.322Z,50,50,0,0
"Dragonpeng",wihuTZi7G-,2026-05-31T08:01:21.431Z,2026-05-31T10:35:47.481Z,50,0,0,-50
