player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"BANDITBAIK",MJhBZs7fJF,2026-06-01T12:11:31.213Z,2026-06-01T12:15:19.768Z,6,0,0,-6
"BANDITBAIK",MJhBZs7fJF,2026-06-01T12:09:37.183Z,2026-06-01T12:10:12.106Z,36,36,0,0
"Clayton",jDaq6q7HFV,2026-06-01T12:04:05.177Z,2026-06-01T12:05:43.669Z,44,0,0,-44
"jon",S50hTx3f4W,2026-06-01T11:59:28.877Z,2026-06-01T12:24:34.729Z,40,61,0,21
"jon",S50hTx3f4W,2026-06-01T11:53:49.626Z,2026-06-01T11:57:48.691Z,20,0,0,-20
"Jovi",O-3L4966Ji,2026-06-01T11:20:01.359Z,2026-06-01T12:06:45.147Z,50,171,0,121
"Nicc",mQB12J5va_,2026-06-01T10:55:23.198Z,,500,300,242,42
"0opsy-pussy",XO-P6ChLBL,2026-06-01T10:18:16.214Z,2026-06-01T10:36:53.075Z,50,0,0,-50
"jonny",M27O7piJNR,2026-06-01T10:18:16.211Z,2026-06-01T10:36:53.070Z,85,228,0,143
"Jovi",O-3L4966Ji,2026-06-01T09:10:44.282Z,2026-06-01T11:17:15.259Z,150,350,0,200
"Bubul",DYXLwRPWuA,2026-06-01T09:10:44.285Z,2026-06-01T10:16:54.710Z,200,0,0,-200
"0opsy-pussy",XO-P6ChLBL,2026-06-01T09:04:40.986Z,2026-06-01T09:07:18.392Z,50,0,0,-50
"Clayton",jDaq6q7HFV,2026-06-01T09:00:08.525Z,2026-06-01T12:03:10.520Z,627,969,0,342
"BANDITBAIK",MJhBZs7fJF,2026-06-01T08:58:39.569Z,2026-06-01T12:06:45.143Z,1300,1596,0,296
"Marco",K85f7jjyu5,2026-06-01T08:57:24.008Z,2026-06-01T12:06:45.136Z,600,148,0,-452
"nico",mQB12J5va_,2026-06-01T08:50:59.124Z,2026-06-01T10:42:59.328Z,395,0,0,-395
"Jovi",O-3L4966Ji,2026-06-01T08:37:48.980Z,2026-06-01T09:07:18.387Z,60,0,0,-60
"Bokong",oEjeIX4iN0,2026-06-01T08:36:05.392Z,2026-06-01T10:16:54.705Z,20,60,0,40
"Bokong",oEjeIX4iN0,2026-06-01T08:29:13.289Z,2026-06-01T08:34:28.999Z,20,0,0,-20
"Jovi",O-3L4966Ji,2026-06-01T08:29:13.286Z,2026-06-01T08:36:05.390Z,40,0,0,-40
"Clayton",jDaq6q7HFV,2026-06-01T08:15:18.512Z,2026-06-01T08:57:24.004Z,115,134,0,19
"Clayton",jDaq6q7HFV,2026-06-01T08:10:03.789Z,2026-06-01T08:12:15.494Z,200,283,0,83
"Bokong",oEjeIX4iN0,2026-06-01T08:08:31.679Z,2026-06-01T08:26:13.557Z,20,0,0,-20
"nico",mQB12J5va_,2026-06-01T08:08:31.677Z,2026-06-01T08:49:06.464Z,250,0,0,-250
"Winston",MkDWPpf-PK,2026-06-01T08:04:07.122Z,2026-06-01T10:16:54.700Z,50,100,0,50
"0opsy-pussy",XO-P6ChLBL,2026-06-01T07:56:38.165Z,2026-06-01T09:03:21.161Z,150,0,0,-150
"BANDITBAIK",MJhBZs7fJF,2026-06-01T07:56:38.162Z,2026-06-01T08:55:33.691Z,250,300,0,50
"arpeggi",15Yb4mRYvF,2026-06-01T07:56:38.159Z,2026-06-01T12:23:52.679Z,370,370,0,0
"jonny",M27O7piJNR,2026-06-01T07:56:38.169Z,2026-06-01T08:58:39.567Z,110,145,0,35
"dragonpeng",0oxsPzcrIa,2026-06-01T07:56:38.155Z,,500,750,65,315
"Dragonpeng",RLhCxDL19I,,2026-06-01T07:37:17.191Z,50,50,0,0
